unidad_id,nombre,direccion
205,BENI,Av. Beni 2do Anillo
315,BEREA,Doble Vía La Guardia Km 8
305,CABEZAS,Carretera a Camiri - Localidad Cabezas
105,CHACO,Av. Virgen de Cotoca 2do Anillo
225,LA TECA,Carretera a Cotoca antes de la Tranca
125,LUCYFER,Circunvalación Calle A N80 Zona Noreste
135,MONTECRISTO,Av. Virgen de Cotoca 8vo Anillo
120,PARAGUA,Av. Paragua 4to Anillo
310,PARAPETI,Camiri Carretera Yacuiba-Santa Cruz Km1
215,VIRU VIRU, KM 11 al norte a lado de Playland
200, SUR CENTRAL, Av. Santos Dumont 2do Anillo
110,ROYAL,Av. Roque Aguilera Esq Calle Angel Sandoval NRO 3897 Zona Villa Fatima
300,PIRAI,Av. Roqca y Coronado 3er Anillo
210,LOPEZ,Av. Banzer 7mo Anillo
400,GASCO,Av. Banzer 3er Anillo
115,EQUIPETROL,4to Anillo Frente al Ventura Mall
100, ALEMANA,Av. Alemana 2do Anillo
